year|page|table_number|row_number|source_title|source_url|table_column_1|table_column_2|table_column_3|table_column_4|table_column_5|table_column_6|table_column_7|table_column_8
2023|2|1|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|2|1|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|01|Local taxes/rates||||||
2023|2|1|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Residential|7,730,999|||8,364,941||8,975,582 8,671,504 32,695,660
2023|2|1|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|002|Industrial/Commercial|7,469,086|||8,081,551||
2023|2|1|5|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|003|Mining/Plant|28,161,976|||30,471,258||
2023|2|1|6|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||43,362,061||46,917,750||50,342,746
2023|2|1|7|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Personal levy|190,005|||205,585||220,593
2023|2|1|8|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||190,005||205,585||220,593
2023|2|1|9|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|2|1|10|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|02|Fees and Charges||||||
2023|2|1|11|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Consent fees|49,000|||53,018||56,888 34,481 491,678 640,284 19,375 643,297 296,033 129,566 17,299 699,379 813 1,122,540 40,653 527,041 48,587 63,274 4,644 51,316 15,813 199,690 32,043 116,099 198,529 179,372 204,566 592,104 14,280 5,480,097
2023|2|1|12|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|002|Survey fees|29,700|||32,135||
2023|2|1|13|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|003|Building inspection-fees|423,500|||458,227||
2023|2|1|14|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|004|Plan scrutiny fee|551,500|||596,723||
2023|2|1|15|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|005|Change of premise use|16,550|||17,907||
2023|2|1|16|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|007|Rentals/lease of Council’s properties|586,990|||635,123||
2023|2|1|17|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|008|Application forms fees|255,096|||276,014||
2023|2|1|18|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|009|Rentals from houses|111,600|||120,751||
2023|2|1|19|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|010|Sketch plan|14,900|||16,122||
2023|2|1|20|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|011|Search fees|602,400|||651,797||
2023|2|1|21|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|012|Notice board advert fees|700|||757||
2023|2|1|22|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|013|Market fees|966,885|||1,046,170||
2023|2|1|23|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|014|Parking fees|35,016|||37,887||
2023|2|1|24|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|016|Bus station fees|453,960|||491,185||
2023|2|1|25|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|017|Affidavit fees|41,850|||45,282||
2023|2|1|26|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|020|Hire of halls|54,500|||58,969||
2023|2|1|27|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|030|Course fees|4,000|||4,328||
2023|2|1|28|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|033|Refuse disposal|44,200|||47,824||
2023|2|1|29|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|038|Library membership fees|13,620|||14,737||
2023|2|1|30|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|045|Notice of marriage fees|172,000|||186,104||
2023|2|1|31|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|046|Abattoir/meat inspection fees|27,600|||29,863||
2023|2|1|32|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|047|Registration of clubs and societies|100,000|||108,200||
2023|2|1|33|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|053|Communication mast levy|171,000|||185,022||
2023|2|1|34|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|061|Billboards and banners|154,500|||167,169||
2023|2|1|35|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|062|Lease of council transport|176,200|||190,648||
2023|2|1|36|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|064|Penalties|510,000|||551,821||
2023|2|1|37|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|070|Dog Collar Fee|12,300|||13,309||
2023|2|1|38|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|099|Other fees and charges|4,770,664|||5,132,046||
2023|2|1|39|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||10,350,231||11,169,139||11,919,739
2023|3|2|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|3|2|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|03|Licenses||||||
2023|3|2|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Liquor licence|72,000|||77,904||83,591 87,074 412,731 212,809 242,810
2023|3|2|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|002|Firearm and ammunition licence|75,000|||81,150||
2023|3|2|5|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|055|Ocupancy licence|355,500|||384,651||
2023|3|2|6|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|061|Restaurant licence|183,300|||198,331||
2023|3|2|7|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|099|Other licences|226,100|||234,669||
2023|3|2|8|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||911,900||976,705||1,039,014
2023|3|2|9|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|3|2|10|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|04|Levies||||||
2023|3|2|11|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|004|Pole levy|211,800|||229,168||245,897 1,044,887
2023|3|2|12|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|010|Business Levy|900,000|||973,800||
2023|3|2|13|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||1,111,800||1,202,968||1,290,784
2023|3|2|14|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|3|2|15|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|05|Permits||||||
2023|3|2|16|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Health permits|579,100|||626,586||672,327 22,059 381,082 1,073,854 197,217
2023|3|2|17|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|007|Nursery , pre school permits|19,000|||20,558||
2023|3|2|18|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|008|Burial permits and grave sites|328,240|||355,156||
2023|3|2|19|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|009|Fire certificate|924,950|||1,000,796||
2023|3|2|20|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|099|Other permits|170,000|||183,940||
2023|3|2|21|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||2,021,290||2,187,036||2,346,539
2023|3|2|22|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|3|2|23|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|06|Charges||||||
2023|3|2|24|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|003|Premium Plot- Residential|1,497,500|||1,620,295||1,738,577 383,125 1,165,049
2023|3|2|25|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|004|Premium Plot – Commercial|330,000|||357,060||
2023|3|2|26|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|099|Other charges|1,003,500|||1,085,787||
2023|3|2|27|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||2,831,000||3,063,142||3,286,751
2023|3|2|28|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|3|2|29|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|08|National Support (Grants)||||||
2023|3|2|30|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|003|Recurrent Grant|11,519,010|||12,463,569||13,373,409
2023|3|2|31|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||11,519,010||12,463,569||13,373,409
2023|3|2|32|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|3|2|33|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|09|Local Development Fund||||||
2023|3|2|34|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Constituency Development Fund|84,900,000|||91,861,800||98,567,711
2023|3|2|35|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||84,900,000||91,861,800||98,567,711
2023|4|3|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Grand Total|157,197,296|170,047,693|182,387,287||||
2023|4|4|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Code|Programme|2021 Approved Budget(K)|2022 Approved Budget(K)|2023 Budget(K) Estimates|||
2023|4|4|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|1 2 3 5 6 7 8 10 11 12|Constituency Development Local Governance Integrated Development Planning Public Health and Environmental Protection Housing and Community Amenities Recreation Culture and Religion Education and Skills Development Public Order and Safety Management and Support Services Resource Mobilisation and Management|- - - - - - - - - -|77,100,000 2,393,005 2,083,650 4,686,187 10,865,044 2,143,931 348,986 1,903,334 47,259,004 5,748,464|84,900,000 1,934,160 1,086,695 3,543,415 13,298,171 2,131,611 233,620 1,683,722 44,568,645 3,817,257|||
2023|4|4|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||Head Total|-|154,531,604|157,197,296|||
2023|7|5|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|No|ECONOMIC CLASSIFICATION|2021 APPROVED BUDGET (K)|2022 APPROVED BUDGET (K)|2023 BUDGET ESTIMATE (K)|||
2023|7|5|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|21 22 24 31|Personal Emoluments Goods and Services Financial Charges Assets|- - (0) -|34,130,195 111,216,537 - 9,184,872|41,537,887 105,204,414 - 10,454,994|||
2023|7|5|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||Head Total|-|154,531,604|157,197,296|||
2023|8|6|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|PROGRAMME/SUB-PROGRAMME|2021 BUDGET||2022 BUDGET||2023 BUDGET ESTIMATE||
2023|8|6|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||APPROVED|EXPENDITURE|APPROVED|EXPENDITURE*|||
2023|8|6|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|5|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|6|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|7|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|8|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|9|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|10|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|11|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|12|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|13|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|14|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|15|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|16|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|17|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|18|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|19|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|20|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||(0)||(0)|||
2023|8|6|21|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||(0)||(0)|||
2023|8|6|22|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|23|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|24|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|25|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|26|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|8|6|27|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|031 Street Lighting 7 Recreation Culture and Religion 039 Library Services 042 Sports Promotion 8 Education and Skills Development 005 Early Childhood Education 010 Adult Literacy 10 Public Order and Safety 014 Building Regulations 018 Community Policing 041 Fire Protection Services 11 Management and Support Services 001 (cid:9)Human Resource and Administration 009 Executive Management 016 (cid:9)Procurement 028 (cid:9)Auditing 035 (cid:9)Accounting 036 Legal 064 Revenue Collection 066 (cid:9)Revenue Reporting 12 Resource Mobilisation and Management 067 Revenue Mobilisation 068 Revenue Enhancement 069 Revenue Management|- - - - - - - - - - - - - - - - - - (0) - - - - -|-|512,920 2,143,931 54,130 2,089,801 348,986 128,516 220,470 1,903,334 522,660 178,420 1,202,254 47,259,004 24,285,672 3,064,430 790,197 581,936 14,776,889 3,108,596 (0) 651,285 5,748,464 2,460,150 1,896,384 1,391,930|-||1,633,021 2,131,611 533,050 1,598,561 233,620 68,660 164,960 1,683,722 343,400 182,360 1,157,962 44,568,645 30,721,773 2,266,568 645,657 387,061 7,259,115 2,534,711 300,000 453,761 3,817,257 1,411,624 1,425,283 980,350|
2023|9|7|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|5|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|6|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|7|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|8|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|9|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|10|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|11|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|12|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|13|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|14|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|15|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|16|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|17|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|18|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|19|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||(0)||(0)|||
2023|9|7|20|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|21|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|22|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|23|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|24|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-||-|||
2023|9|7|25|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Head Total|-|-|154,531,604|-||157,197,296|
2023|12|8|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Key Output(s)|||||||
2023|12|8|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Output Indicator:|2021||2022||2023||
2023|12|8|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||Target|Actual|Target|Actual*|Target||
2023|12|8|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|01 Number of school classroom blocks constructed 02 Number of kilometres of drainages constructed 03 Number of school class desks delivered 04 Number of students sponsored through bursaries 05 Number of kilometres of drainages cleared 06 Number of Youth Groups Empowered 07 Number of Women Groups Empowered 08 Number of kilometres of feeder roads opened|- - - - - - - -|- - - - - - - -|25 55 500 1,000 55 90 90 20|- 55 500 1,000 55 90 90 10|(0) (0) 500 1,000 55 90 90 10||
2023|13|9|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|ECONOMIC CLASSIFICATION||2021 BUDGET|||2022 BUDGET||2023 BUDGET
2023|13|9|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||Approved|Expenditure|Approved||Expenditure*|Estimates
2023|13|9|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|02 Use of Goods and Services 00 General Budget Item|Use of Goods and Services|-|-|77,100,000 77,100,000||- -|84,900,000 84,900,000
2023|13|9|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|||-|-||||
2023|13|9|5|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Programme Total||-|||||84,900,000
2023|13|9|6|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||||-|77,100,000||-|
2023|14|10|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Key Output(s)|||||||
2023|14|10|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Output Indicator:|2021||2022||2023||
2023|14|10|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||Target|Actual|Target|Actual*|Target||
