Constituency|Project_No|Ward|Project_Name|Sector|Scope_of_Work|Quantity|Location|Proposed_Date|Duration|Engineers_Estimate_ZMW|Approved_Amount_ZMW|Justification|Source_File
Kankoyo|30|JOINT WARDS||COUNCIL|"Joint Wards Procurement of 40 tone Procurement of 40 tone tipper All Wards 12 weeks 2,700,000.00 2,700,000.00 | There was no Tipper available to use in road tipper works hence, the need for one so that road works are carried out effectively 16,629,400.00 LIRA MUNI COUNCIL"||||12 WEEKS|2700000.00|2700000.00||Kankoyo-Comm-Projects.pdf
Kankoyo|08||DEC 2025 SAS oT On CLERK ACC sae sans erm meen, MUFULIRA wie CIPAL||DEC 2025 SAS oT On CLERK ACC sae sans erm meen, MUFULIRA wie CIPAL||||||||Kankoyo-Comm-Projects.pdf
Mufulira Central|1||"|CONSTRUCTION SITE CLEARING, ROAD & ROAD GOING TO 20TH MARCH, 204 BWANANYINA |SI"||"|CONSTRUCTION Site Clearing, ROAD & Road going to 20TH MARCH, 204 Bwananyina |Site Clearing, 24 weeks 1,380,000.00 811,700.60 | There was no OF FOOT BRIDGE | Substructure,Superstructure| CONSTRUCTI |Kalindini Substructure, Superstru footbridge to enable linking Kalindini Fabrication and installation |ON cture,Fabrication and people connect going of handrails and painting installation of handrails to Kalindini hence the and decoration and painting and need for a footbridge to decoration be built so that people can safely walk to the other side."||||24 WEEKS|1380000.00|811700.60||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|2||"|DRILLING OF 2 BOREHOLE DRILLING, ELECTRICAL |WATERAND /|KANSUSWA 20TH MARCH, 20"||"|DRILLING OF 2 Borehole drilling, electrical |WATERAND /|Kansuswa 20TH MARCH, 207 Kansuswa Borehole drilling, 12 weeks 600,000.00 600,000.00 | There was no BOREHOLES works(solar installation), SANITATION electrical works(solar availability of water Plumbing works, installation installation), Plumbing hence, the need for of 10 litre tank, fabrication works, installation of 10 boreholes to be drilled and installation of a tank litre tank, fabrication to provide people with stand. and installation of a water tank stand."||||12 WEEKS|600000.00|600000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|3||"|PROCUREMENT & BOREHOLE DRILLING, INSTALLATION |\WATER AND |CHACHACHA 20TH MARCH"||"|PROCUREMENT & Borehole drilling, Installation |\WATER AND |Chachacha 20TH MARCH, 204Chachacha_ {Borehole drilling, 12 weeks 900,000.00 450,000.00 | There was no DRILLING OF 3 of hand pump indian mark |SANITATION Installation of hand availability of water HAND PUMPS Il, Civil works. pump indian mark Il, hence, the need for BOREHOLES Civil works. boreholes to be drilled to provide people with water"||||12 WEEKS|900000.00|450000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|4||"|CONSTRUCTION EXCAVATIONS, SUBSTRUCTURE, ["|EDUCATION|"|CONSTRUCTION Excavations, substructure, [EDUCATION |Mukuba 21st MARCH, 202¢ Mutundu Excavations, 20 weeks 1,400,000.00 ‘There was inadequate OF 2 HOSTELS - superstructure work, Secondary School substructure, boarding infrastructure BOARDING roofing, electricals, superstructure work, hence, the need for FACILITIES AT plumbing, metal work, roofing, electricals, hostels to be built at MUKUBA DAY SCH |Carpentry and Joinery, plumbing, metal work, the school to (COMMUNITY glazing, finishes, painting Carpentry and Joinery, accommodate all the BASED) and external work glazing, finishes, students painting and external work"||||20 WEEKS||1400000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|5||"|OPENING OF (2) CLEARING AND GRUBBING, ROAD |ROAD & FROM THE 20TH MARCH, 204CHAC"|ROADS|"|OPENING OF (2) Clearing and grubbing, road |ROAD & FROM THE 20TH MARCH, 204Chachacha /|Clearing and grubbing, |12 weeks 1,746,150.00 - | There was no clear ROADS 3.5KM IN formation (wet formation), _|CONSTRUCTI |ROAD JOINING 4 road formation (wet tarred road hence the FRANCIS MUKUKA |compaction, dumping of ON NGWEE AND formation), compaction, need for the road to be laterite, spreading, watering FROM LUVALE dumping of laterite, worked on and compaction ROAD TO spreading, watering COUNCIL ADMIN and compaction OFFICES"||||12 WEEKS||1746150.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|6||"|PROCUREMENT & |BOREHOLE DRILLING, INSTALLATION |\WATER AND |KASEMPA | KASEMPA B"||"|PROCUREMENT & |Borehole drilling, Installation |\WATER AND |Kasempa | Kasempa Borehole drilling, 12 weeks 300,000.00 300,000.00 | There was no DRILLING OF 2 of hand pump indian mark |SANITATION Installation of hand availability of water HAND PUMPS Il, Civil works. pump indian mark Il, hence, the need for BOREHOLES Civil works. boreholes to be drilled to provide people with"||||12 WEEKS|300000.00|300000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|7||"|REHABILITATION — /BOREHOLE DRILLING, ELECTRICAL |WATERAND |TWASHUKA KASEMPA BOR"||"|REHABILITATION — /Borehole drilling, electrical |WATERAND |Twashuka Kasempa Borehole drilling, 16 weeks 400,000.00 400,000.00 | There was no OF SEWER LINE works(solar installation), SANITATION | |Primary School electrical works(solar availability of water AND DRILLING OF |Plumbing works, installation installation), Plumbing hence, the need for BOREHOLE AT of 10 litre tank, fabrication works, installation of 10 boreholes to be drilled TWASHUKA and installation of a tank litre tank, fabrication to provide people with PRIMARY SCHOOL |stand. and installation of a water tank stand."||||16 WEEKS|400000.00|400000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|8||"|DRILLING OF 3 BOREHOLE DRILLING, INSTALLATION| WATER AND |KAPOLOPOLO, | KAFUE B"||"|DRILLING OF 3 Borehole drilling, Installation| WATER AND |KAPOLOPOLO, | Kafue Borehole drilling, 12 weeks 900,000.00 450,000.00 | There was no HANDPUMP of hand pump indian mark |SANITATION |KABANANA & Installation of hand availability of water BOREHOLES ll, Civil works. LUANSHIMBA pump indian mark Il, hence, the need for AREAS Civil works. boreholes to be drilled to provide people with water"||||12 WEEKS|900000.00|450000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|9||"|CONSTRUCTION EXCAVATIONS, SUBSTRUCTURE, |HOME KAWAMA WEST KAWAMA EXCAVATIONS,"||"|CONSTRUCTION Excavations, substructure, |HOME Kawama West Kawama Excavations, 20 weeks 1,976,160.00 1,000,000.00 | There was no police OF POLICE POST _/|superstructure work, AFFAIRS West substructure, post in the area hence, roofing, electricals, superstructure work, the need for a police plumbing, metal work, roofing, electricals, post to be built so as to Carpentry and Joinery, plumbing, metal work, enhance security in the glazing, finishes, painting Carpentry and Joinery, area and external work Borehole glazing, finishes, drilling, electrical painting and external works(solar installation), work Borehole drilling, Plumbing works, installation electrical works(solar of 10 litre tank, fabrication installation), Plumbing and installation of a tank works, installation of 10 stand. litre tank, fabrication and installation of a tank stand."||||20 WEEKS|1976160.00|1000000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|10||"|DRILLING OF 3 BOREHOLE DRILLING, INSTALLATION] WATER AND |KAMUCHANGA KAMUCHANGA"||"|DRILLING OF 3 Borehole drilling, Installation] WATER AND |Kamuchanga Kamuchanga | Borehole drilling, 12 weeks 450,000.00 450,000.00 | There was no HANDPUMP of hand pump indian mark |SANITATION |ward 6 ward 6 Installation of hand availability of water BOREHOLES Il, Civil works. pump indian mark II, hence, the need for Civil works. boreholes to be drilled to provide people with water"||||12 WEEKS|450000.00|450000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|11||"|PURCHASE OF PROCUREMENT OF AN ELECTRIC |WATERAND_ |KAMUCHANGA KAMUCHANGA | PROC"||"|PURCHASE of Procurement of an electric |WATERAND_ |Kamuchanga Kamuchanga | Procurement of an 8 weeks 152,000.00 60,000.00 | There was no ELECTRICAL PUMP |Pump and 10,000 litres SANITATION — |ward 6 ward 6 electric Pump and availability of water AND 10,000.00 LTR |Tanks 10,000 litres Tanks hence, the need for TANK boreholes to be drilled to provide people with water"||||8 WEEKS|152000.00|60000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|12|ALL WARDS|"|PURCHASE AND PURCAHSE AND INSTALLATION OF | HEALTH KAMUCHANGA 22ND MARCH, 202)"|HEALTH|"|PURCHASE AND Purcahse and installation of | HEALTH Kamuchanga 22nd MARCH, 202)All Wards Pircahse and 14weeks 850,000.00 900,000.00 | There was no X-ray INSTALLATION OF {the Digital X-Ray Machine District installation of the machine at the THE DIGIT X-RAY Digital X-Ray Machine Hospital hence, the MACHINE AT need to purchase one KAMUCHANGA so as to priortize GENERAL people's health"||||14WEEKS|850000.00|900000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|13|ALL WARDS|"|PURCHASE AND PURCAHSE AND INSTALLATION OF | HEALTH KAMUCHANGA 23RD MARCH, 202!"|HEALTH|"|PURCHASE AND Purcahse and installation of | HEALTH Kamuchanga 23rd MARCH, 202! All Wards Pircahse and 14weeks 380,000.00 380,000.00 | There was no ultra- INSTALLATION OF |the Ultra Sound Machine District installation of the Ultra sound machine at the THE ULTRA SOUND Sound Machine Hospital hence, the MACHINE need to purchase one so as to priortize people's health"||||14WEEKS|380000.00|380000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|14||"| PURCHASE OF PURCHASE OF DESKS AT"|EDUCATION|"| PURCHASE OF Purchase of desks at EDUCATION _ |Kalukanya 25th MARCH, 202! Kasempa “sche of desks at |14weeks 85,000.00 85,000.00 | There were DESKS AT Kalukanya Secondary School Kalukanya inadequate desks at KALUKANYA the school hence, the need to procure desks so that the desks can accommodate all the students"||||14WEEKS|85000.00|85000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|15||"| INSTALLATION OF |DEMOLITION,EARTHWORKS, ROAD & FRANCIS MUKUKA |26TH MARCH, 202"||"| INSTALLATION OF |Demolition,Earthworks, ROAD & Francis Mukuka |26th MARCH, 202! Chachacha |Earthworks, concrete /|14weeks 600,000.00 600,000.00 | There were no piped"||||14WEEKS|600000.00|600000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|2||"LINES OF 900MM |concrete works and steel CONSTRUCTI works and steel works culvat"||"LINES OF 900MM |concrete works and steel CONSTRUCTI works and steel works culvates installed PIPED CULVATES [works installation of pipe ON hence, the need for AT FRANCIS culverts, Backffiling in them to be installed for MUKUKA layers. the construcion of the (CONSTRUCTION bridge OF BRIDGE IN"||||||||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|16||"| CONSTRUCTION DEMOLITION, EARTHWORKS, ROAD & KALUKANYA 27TH MARCH, 202! HANKY K"||"| CONSTRUCTION Demolition, Earthworks, ROAD & Kalukanya 27th MARCH, 202! Hanky Kalang)Earthworks, concrete |24 weeks 1,400,000.00 1,500,000.00 | There was no bridge OF A BRIDGE ON _ {concrete works and steel CONSTRUCTI |Hosusing works and steel works linking kawama west THE ROAD FROM _ works, Installation of portal |ON and kalukanya hence KAWAMA WEST TO |culverts. the need for a bridge to KALUKANYA be constructed so as to HOUSING enable people safely"||||24 WEEKS|1400000.00|1500000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|17||"| CONSTRUCTION EARTHWORKS, CONCRETE WORKS |ROAD & ROAD FROM MINI | 28TH MARCH, 2"||"| CONSTRUCTION Earthworks, concrete works |ROAD & Road from Mini | 28th MARCH, 2024 Bwananyina |Earthworks, concrete |25 weeks 1,233,000.00 1,333,000.00 | There was no bridge OF A BRIDGE and steel works, Installation |CONSTRUCTI |Hospital works and steel works to enable people to BEHIND MINI of portal culverts. ON safely connect to the HOSPITAL ROAD hospital hence, the need for a bridge to be constructed for people to have easy access to the hospital"||||25 WEEKS|1233000.00|1333000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|18||"| CONSTRUCTION EXCAVATIONS, SUBSTRUCTURE, |"|HEALTH|"| CONSTRUCTION Excavations, substructure, |HEALTH Kawama East 20TH MARCH ,204 Bwananyina |Excavations, 25 weeks 1,310,400.00 1,454,000.00 | There was no OF MORTUARY superstructure work, Mini Hospital substructure, mortuary,shelter and AND KITCHEN roofing, electricals, superstructure work, mourners's shelter for AND MOURNERS plumbing, metal work, roofing, electricals, the hospital hence the SHELTER AT Carpentry and Joinery, plumbing, metal work, need for these to built KAWAMA EAST glazing, finishes, painting Carpentry and Joinery, to accommodate HOSPITAL and external work glazing, finishes, people properly painting and external"||||25 WEEKS|1310400.00|1454000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|19||"| PROCUREMENT SUPPLY AND FITTING OF 2X6"|HEALTH|"| PROCUREMENT Supply and fitting of 2x6 HEALTH Kawama East 20TH MARCH ,204 Bwananyina_ | Supply and fitting of 974,400.00 750,000.00 | There were AND INSTALLATION | mortuary fridges Mini Hospital 2x6 mortuary fridges inadequate mortuary OF MORTUARY fridges to FRIDGES 2X6 accommodate dead bodies coming in hence, the need for more mortuary fridges"|||||974400.00|750000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|20||"| GRADING OF CLEARING AND GRUBBING, ROAD |ROAD & NDEKE 21ST MARCH ,202¢ DAVID LU"|ROADS|"| GRADING OF Clearing and grubbing, road |ROAD & Ndeke 21st MARCH ,202¢ David Lunda |Clearing and grubbing, |20 weeks 3,493,350.00 - | There roads were not SELECTED ROADS |formation (wet formation), _|CONSTRUCTI road formation (wet being worked on and compaction, dumping of ON formation), compaction, hence, the need for laterite, spreading, watering dumping of laterite, them to be worked on and compaction spreading, watering so that David Lunda and compaction has a good road network"||||20 WEEKS||3493350.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|21||"| DRILLING OF BOREHOLE DRILLING, INSTALLATION |WATER AND |NDEKE AND EASTLY |21ST"||"| DRILLING OF Borehole drilling, Installation |WATER AND |Ndeke and Eastly |21st MARCH ,202! David Lunda | Borehole drilling, 12 weeks 300,000.00 300,000.00 | There was no BOREHOLES 2 of hand pump indian mark |SANITATION Installation of hand availability of water HAND PUMPS Il, Civil works. pump indian mark Il, hence, the need for Civil works. boreholes to be drilled to provide people with water"||||12 WEEKS|300000.00|300000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|22||"| PROCUREMENT Purchase of Tents COMMUNITY |kamuchanga, 21st MARCH ,202{ Kamuchan"||"| PROCUREMENT Purchase of Tents COMMUNITY |kamuchanga, 21st MARCH ,202{ Kamuchanga | Purchase of Tents la weeks 200,000.00 200,000.00 | There were no tents OF FOUR(4) TENTS DEVELOPMEN |chachacha, , chachacha, community gatherings T kasempa, and kasempa, hence, the need for kansuswa and purchase of tents to kansuswa enable people to put up tents whenever they are gathering"|||||200000.00|200000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|23|ALL WARDS|"|CONSTRUCTION CONSTRUCTION OF A JOINT ROAD & KANTANSHI EXTENSI|20TH MARCH, 20//"||"|CONSTRUCTION construction of a joint ROAD & Kantanshi Extensi|20TH MARCH, 20//All Wards Site clearing, 8 weeks 1,100,000.00 | 1 100,000.00 | There was no bridge OF A BRIDGE TO funded bridge to connect CONSTRUCTI Substructure, connecting Mufuira CONNECT Mufulira mall and kantashi |ON superstructure, extension residents to MUFULIRA MALL Constituency concrete works, the Mufulira Mall hence AND KANTASHI plastering, painting, the need for the EXTENSION PLOTS finishes, capentry and construction of the joinery, external works bridge to enable the residents to connect easily"||||8 WEEKS|1100000.00|100000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|24|ALL WARDS|"|PROCUREMENT OF |PROCUREMENT OF A JOINTLY"||"|PROCUREMENT OF |Procurement of a jointly All Wards |20TH March, 2025) All Wards Purchase of Grader 8weeks 1,280,000.00 1,280,000.00 | There was no grader THE GRADER funded grader to be used for efficient road works being carried out in Mufulira | hence, the need for the purchase of the grader to be used for road works"||||8WEEKS|1280000.00|1280000.00||Mufulira-Central-Comm-Projects.pdf
Mufulira Central|25|ALL WARDS|"|PROVISION FOR CDF RADIO SHOWS CIVIC CENTRE 20TH FABRUARY, 20)"||"|PROVISION FOR CDF RADIO SHOWS Civic Centre 20TH Fabruary, 20)All Wards Sensitization of the 24 weeks 400,000.00 400,000.00 | People were not fully CDF RADIO SHOW Community on CDF aware of CDF hence, the need for radio shows to sensitize | Total 16,203,700.60 Peseta me atheurmtene teeter cemetery nig Prey POWN CLERK © OX 40796, MUFULIRA"||||24 WEEKS|400000.00|400000.00||Mufulira-Central-Comm-Projects.pdf
