Constituency|Project_No|Ward|Project_Name|Sector|Scope_of_Work|Quantity|Location|Proposed_Date|Duration|Engineers_Estimate_ZMW|Approved_Amount_ZMW|Justification|Source_File
Kantanshi|7|MAINASOKO|ELECTRICAL(SOLAR) INSTALLATIONS ELECTRICAL(SOLAR) INSTALLATIONS DRILLING OF 1 BO|MARKET|"electrical(solar) installations electrical(solar) installations DRILLING OF 1 Borehole drilling, installation of WATER AND |MALELA MARKET 24th MAINASOKO Borehole drilling, installation of 540,000.00 270,000.00 | lack of water at the BOREHOLES AT submersible pump, construction of a SANITATION MARCH, 2025 submersible pump, construction of a market MALELA MARKET Steel tank stand, pipe work and Steel tank stand, pipe work and"|||||540000.00|270000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|8|SHINDE|ELECTRICAL(SOLAR) INSTALLATIONS ELECTRICAL(SOLAR) INSTALLATIONS A DRILLING OF A||"electrical(solar) installations electrical(solar) installations a DRILLING OF A SOLAR /Borehole drilling, installation of Water and Kasumba 20TH MARCH, {Shinde Borehole drilling, installation of 14weeks 290,000.00 | lack of water in the BOREHOLE submersible pump, construction of a Sanitation 2025 submersible pump, construction of a area steel tank stand, pipe work and steel tank stand, pipe work and"||||14WEEKS||290000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|9||"a electrical(solar) installations electrical(solar) installations a ° s ° = |DRI"||"a electrical(solar) installations electrical(solar) installations a ° s ° = |DRILLING OF Borehole drilling, installation of WATER AND |HOSPITAL COMPOUND LEYA Borehole drilling, installation of 300,000.00 300,000.00 rs BOREHOLE submersible pump, construction of a SANITATION MUKUTU submersible pump, construction of a"|||||300000.00|300000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|10|BWEMBYA SILWIZYA|"| 8 STEEL TANK STAND, PIPE WORK AND STEEL TANK STAND, PIPE WORK AND O ELECTRICAL"||"| 8 Steel tank stand, pipe work and Steel tank stand, pipe work and o electrical(solar) installations electrical(solar) installations ro) J & DRILLING OF Borehole drilling, installation of WATER AND |BWEMBYA SILWIZYA BWEMBYA __ {Borehole drilling, installation of 600,000.00 300,000.00 | lack of water at the"|||||600000.00|300000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|3||BOREHOLE AT THE submersible pump, construction of a SANITATION SILWIZYA submersi||BOREHOLE AT THE submersible pump, construction of a SANITATION SILWIZYA submersible pump, construction of a police station and||||||||Kantanshi-Comm-Projects.pdf
Kantanshi|8||"|POLICE STATION AND steel tank stand, pipe work and Steel tank stand, pipe work"||"|POLICE STATION AND steel tank stand, pipe work and Steel tank stand, pipe work and in the police camp"||||||||Kantanshi-Comm-Projects.pdf
Kantanshi|11|MOKAMBO|= POLICE CAMP ELECTRICAL(SOLAR) INSTALLATIONS ELECTRICAL(SOLAR) INSTALLATIONS “A||"= POLICE CAMP electrical(solar) installations electrical(solar) installations “a = Ay = DRILLING OF SOLAR __ {Borehole drilling, installation of WATER AND |MUPENA COMMUNITY MOKAMBO _ {Borehole drilling, installation of 300,000.00 300,000.00 | lack of water in the a’ |PUMP WATER SUPPLY |submersible pump, construction of a SANITATION submersible pump, construction of a area : = AT MUPENA steel tank stand, pipe work and steel tank stand, pipe work and"|||||300000.00|300000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|12|MAINASOKO|"| ELECTRICAL(SOLAR) INSTALLATIONS ELECTRICAL(SOLAR) INSTALLATIONS DRLLING OF BOR"||"| electrical(solar) installations electrical(solar) installations DRLLING OF Borehole drilling, installation of WATER AND |MANO PRIMARY MAINASOKO Borehole drilling, installation of 300,000.00 300,000.00 | lack of water at the BOREHOLE AT MANO [submersible pump, construction of a SANITATION submersible pump, construction of a school PRIMARY SCHOOL Steel tank stand, pipe work and Steel tank stand, pipe work and"|||||300000.00|300000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|13||electrical(solar) installations electrical(solar) installations||electrical(solar) installations electrical(solar) installations||||||||Kantanshi-Comm-Projects.pdf
Kantanshi|14|MULUNGUSHI|UPGRADE OF HAND PUMP TO WATER RETICULATION SYSTEM AT MUFULIRA PURCHASE AND INSTA||"upgrade of Hand pump to WATER RETICULATION SYSTEM AT MUFULIRA Purchase and installation of submersible pump, WATER AND CLINIC 1 22nd MARCH, Mulungushi _|installation of submersible pump, and |14weeks 50,000.00 100,000.00 | to improver the installation of and electrical(solar) installations SANITATION 2025 electrical(solar) installations water reticulation"||||14WEEKS|50000.00|100000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|15|SHINDE|SUBMERIBLE PUMP AND SYSTEM AT THE CLINIC ELECTRICAL INSTALLATIONS CONSTRUCTION A|ROADS|"submerible Pump and system at the clinic electrical installations CONSTRUCTION AND {Clearing and grubbing, road ROAD & FIELD, KASUMBA, 20TH MARCH Shinde Clearing and grubbing, road formation |13 weeks to repair and GRADING OF ROADS __| formation (wet formation), CONSTRUCT |MANGANI AND ,2025 (wet formation), compaction, dumping improve"||||13 WEEKS||||Kantanshi-Comm-Projects.pdf
Kantanshi|16||COMPACTION, DUMPING OF LATERITE, ION CHITIMUKULU|ROADS|"compaction, dumping of laterite, ION CHITIMUKULU ROADS Of laterite, spreading, watering and delapidated roads spreading, watering and compaction compaction within the constituency Construction of a bridge |construction of a joint funded bridge Kantanshi Extension 20TH MARCH, |Mulungunshi |Site clearing, Substructure, 8 weeks 1,100,000.00 650,000.00 | to help communitiy to connect Mufulira mall |to connect Mufulira mall and 2025 superstructure, concrete works, memebers move and Kantashi Extension |kantashi Constituency plastering, painting, finishes, capentry from one end to the"||||8 WEEKS|1100000.00|650000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|17||Plots and joinery, external works other CONSTRUCTION OF Excavations, substructur||"Plots and joinery, external works other CONSTRUCTION OF Excavations, substructure, ROAD & MURUNDU MURUNDU __ |Excavations, substructure, 490,000.00 490,000.00 | to help shelter the BUS STOP superstructure work, roofing, CONSTRUCT superstructure work, roofing, communitie"|||||490000.00|490000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|19||"PAINTING AND EXTERNAL WORK EXTERNAL WORK GRADING OF FEEDER |CLEARING AND GRUBBIN"|ROADS|"painting and external work external work GRADING OF FEEDER |Clearing and grubbing, road ROAD & MURUNDU MURUNDU __ | Clearing and grubbing, road formation 4,593,272.25 to repair and ROADS formation (wet formation), CONSTRUCT (wet formation), compaction, dumping improve compaction, dumping of laterite, ION Of laterite, spreading, watering and delapidated roads"||||||4593272.25||Kantanshi-Comm-Projects.pdf
Kantanshi|20|MULUNGUSHI|SPREADING, WATERING AND COMPACTION COMPACTION WITHIN THE CONSTITUENCY GRADING OF||"spreading, watering and compaction compaction within the constituency GRADING OF ROAD IN {Clearing and grubbing, road ROAD & CHIMWEMWE C-1 OR 21st MARCH, Mulungushi 14weeks 1,194,552.50 200,000.00 KANTANSHI formation (wet formation), CONSTRUCT |KANTANSHI MA PLOTS 2025 EXTENSION PLOTS compaction, dumping of laterite, ION"||||14WEEKS|1194552.50|200000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|2|MUPAMBE|"AND DRINAGE SPREADING, WATERING AND COMPACTION GRADING OF ROADS _ | CLEARING AND"|ROADS|"AND DRINAGE spreading, watering and compaction GRADING OF ROADS _ | Clearing and grubbing, road ROAD & NDEKE MUPAMBE 1,316,000.00 | formation (wet formation), CONSTRUCT"||||||1316000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|22||compaction, dumping of laterite, ION spreading, watering and compaction||compaction, dumping of laterite, ION spreading, watering and compaction||||||||Kantanshi-Comm-Projects.pdf
Kantanshi|23|ALL WARDS|SPREADING, WATERING AND COMPACTION PROCUREMENT OF THE PROCUREMENT OF A JOINTLY F||"spreading, watering and compaction Procurement of the Procurement of a jointly funded All Wards 20TH March, All Wards Purchase of Grader 8weeks 1,280,000.00 1,280,000.00 | tol help repair"||||8WEEKS|1280000.00|1280000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|24|ALL WARDS|"GRADER GRADER 2025 ROADS EFFICIENTLY PROVISON FOR CDF RADIO |CDF RADIO SHOWS CIV"|ROADS|"Grader grader 2025 roads efficiently Provison for CDF Radio |CDF RADIO SHOWS Civic Centre 20TH Fabruary, |All Wards Radio Shows, Road Shows and Printing24 weeks 400,000.00 400,000.00 | to sensitize Show 2025 community"|||||400000.00|400000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|25||MEMBERS ON THE IMPORTANCE OF CDF REHABILITATION OF = /CLEARING AND GRUBBING, ROA|ROADS|members on the importance of CDF REHABILITATION OF = /Clearing and grubbing, road ROAD & ORCHARD AREA LEYA Clearing and grubbing, road formation 383,000.00 to repair and ROADS formation (wet formation), CONSTRUCT MUKUTU (wet formation), compaction, dumping improve compaction, dumping of laterite, ION of laterite, spreading, watering and delapidated roads||||||383000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|26||SPREADING, WATERING AND COMPACTION COMPACTION WITHIN THE CONSTITUENCY REHABILITA|ROADS|"spreading, watering and compaction compaction within the constituency REHABILITATION OF = |Clearing and grubbing, road ROAD & ALONG KAMBA ROAD BWEMBYA _ |Clearing and grubbing, road formation 434,175.00 100,000.00 ROADS formation (wet formation), CONSTRUCT |FROM KANTANSHI POLICE SILWIZYA (wet formation), compaction, dumping compaction, dumping of laterite, ION TO CLINIC of laterite, spreading, watering and"|||||434175.00|100000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|27|MOKAMBO|SPREADING, WATERING AND COMPACTION COMPACTION ROADS CLEARING AND GRUBBING, ROAD|ROADS|"spreading, watering and compaction compaction ROADS Clearing and grubbing, road ROAD & MOKAMBO _ |Clearing and grubbing, road formation 500,000.00 150,000.00 REHABILITATION formation (wet formation), CONSTRUCT (wet formation), compaction, dumping compaction, dumping of laterite, ION of laterite, spreading, watering and"|||||500000.00|150000.00||Kantanshi-Comm-Projects.pdf
