Constituency|Project_No|Ward|Project_Name|Sector|Scope_of_Work|Quantity|Location|Proposed_Date|Engineers_Estimate_ZMW|Approved_Amount_ZMW|Justification|Source_File|Duration_Weeks
Kantanshi|16|ALL WARDS|COMPACTION, DUMPING OF LATERITE, ION CHITIMUKULU|ROADS|"compaction, dumping of laterite, ION CHITIMUKULU ROADS Of laterite, spreading, watering and delapidated roads spreading, watering and compaction compaction within the constituency Construction of a bridge |construction of a joint funded bridge Kantanshi Extension 20TH MARCH, |Mulungunshi |Site clearing, Substructure, 8 weeks 1,100,000.00 650,000.00 | to help communitiy to connect Mufulira mall |to connect Mufulira mall and 2025 superstructure, concrete works, memebers move and Kantashi Extension |kantashi Constituency plastering, painting, finishes, capentry from one end to the"||||1100000.0|650000.0||Kantanshi-Comm-Projects.pdf|8.0
Kantanshi|17|ALL WARDS|Plots and joinery, external works other CONSTRUCTION OF Excavations, substructur|ROADS|"Plots and joinery, external works other CONSTRUCTION OF Excavations, substructure, ROAD & MURUNDU MURUNDU __ |Excavations, substructure, 490,000.00 490,000.00 | to help shelter the BUS STOP superstructure work, roofing, CONSTRUCT superstructure work, roofing, communitie"||||490000.0|490000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|19|ALL WARDS|"PAINTING AND EXTERNAL WORK EXTERNAL WORK GRADING OF FEEDER |CLEARING AND GRUBBIN"|ROADS|"painting and external work external work GRADING OF FEEDER |Clearing and grubbing, road ROAD & MURUNDU MURUNDU __ | Clearing and grubbing, road formation 4,593,272.25 to repair and ROADS formation (wet formation), CONSTRUCT (wet formation), compaction, dumping improve compaction, dumping of laterite, ION Of laterite, spreading, watering and delapidated roads"||||738594.66|4593272.25||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|20|MULUNGUSHI|SPREADING, WATERING AND COMPACTION COMPACTION WITHIN THE CONSTITUENCY GRADING OF|ROADS|"spreading, watering and compaction compaction within the constituency GRADING OF ROAD IN {Clearing and grubbing, road ROAD & CHIMWEMWE C-1 OR 21st MARCH, Mulungushi 14weeks 1,194,552.50 200,000.00 KANTANSHI formation (wet formation), CONSTRUCT |KANTANSHI MA PLOTS 2025 EXTENSION PLOTS compaction, dumping of laterite, ION"||||1194552.5|200000.0||Kantanshi-Comm-Projects.pdf|14.0
Kantanshi|2|MUPAMBE|"AND DRINAGE SPREADING, WATERING AND COMPACTION GRADING OF ROADS _ | CLEARING AND"|ROADS|"AND DRINAGE spreading, watering and compaction GRADING OF ROADS _ | Clearing and grubbing, road ROAD & NDEKE MUPAMBE 1,316,000.00 | formation (wet formation), CONSTRUCT"||||738594.66|1316000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|22|ALL WARDS|compaction, dumping of laterite, ION spreading, watering and compaction|ROADS|compaction, dumping of laterite, ION spreading, watering and compaction||||738594.66|1429924.55||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|23|ALL WARDS|SPREADING, WATERING AND COMPACTION PROCUREMENT OF THE PROCUREMENT OF A JOINTLY F|ROADS|"spreading, watering and compaction Procurement of the Procurement of a jointly funded All Wards 20TH March, All Wards Purchase of Grader 8weeks 1,280,000.00 1,280,000.00 | tol help repair"||||1280000.0|1280000.0||Kantanshi-Comm-Projects.pdf|8.0
Kantanshi|24|ALL WARDS|"GRADER GRADER 2025 ROADS EFFICIENTLY PROVISON FOR CDF RADIO |CDF RADIO SHOWS CIV"|ROADS|"Grader grader 2025 roads efficiently Provison for CDF Radio |CDF RADIO SHOWS Civic Centre 20TH Fabruary, |All Wards Radio Shows, Road Shows and Printing24 weeks 400,000.00 400,000.00 | to sensitize Show 2025 community"||||400000.0|400000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|25|ALL WARDS|MEMBERS ON THE IMPORTANCE OF CDF REHABILITATION OF = /CLEARING AND GRUBBING, ROA|ROADS|members on the importance of CDF REHABILITATION OF = /Clearing and grubbing, road ROAD & ORCHARD AREA LEYA Clearing and grubbing, road formation 383,000.00 to repair and ROADS formation (wet formation), CONSTRUCT MUKUTU (wet formation), compaction, dumping improve compaction, dumping of laterite, ION of laterite, spreading, watering and delapidated roads||||738594.66|383000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|26|ALL WARDS|SPREADING, WATERING AND COMPACTION COMPACTION WITHIN THE CONSTITUENCY REHABILITA|ROADS|"spreading, watering and compaction compaction within the constituency REHABILITATION OF = |Clearing and grubbing, road ROAD & ALONG KAMBA ROAD BWEMBYA _ |Clearing and grubbing, road formation 434,175.00 100,000.00 ROADS formation (wet formation), CONSTRUCT |FROM KANTANSHI POLICE SILWIZYA (wet formation), compaction, dumping compaction, dumping of laterite, ION TO CLINIC of laterite, spreading, watering and"||||434175.0|100000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|27|MOKAMBO|SPREADING, WATERING AND COMPACTION COMPACTION ROADS CLEARING AND GRUBBING, ROAD|ROADS|"spreading, watering and compaction compaction ROADS Clearing and grubbing, road ROAD & MOKAMBO _ |Clearing and grubbing, road formation 500,000.00 150,000.00 REHABILITATION formation (wet formation), CONSTRUCT (wet formation), compaction, dumping compaction, dumping of laterite, ION of laterite, spreading, watering and"||||500000.0|150000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|28|ALL WARDS|SPREADING, WATERING AND COMPACTION COMPACTION|ROADS|spreading, watering and compaction compaction ROADS Clearing and grubbing, road ROAD & SECTION K LEYA Clearing and grubbing, road formation 350,000.00 200,000.00 REHABILITATION formation (wet formation), CONSTRUCT MUKUTU (wet formation), compaction, dumping compaction, dumping of laterite, ION of laterite, spreading, watering and||||350000.0|200000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|29|ALL WARDS|SPREADING, WATERING AND COMPACTION COMPACTION|ROADS|spreading, watering and compaction compaction ROADS Clearing and grubbing, road Minambe Clearing and grubbing, road formation 440,000.00 REHABILITATION formation (wet formation), (wet formation), compaction, dumping||||738594.66|440000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|30|ALL WARDS|compaction, dumping of laterite, of laterite, spreading, watering and spreading,|ROADS|compaction, dumping of laterite, of laterite, spreading, watering and spreading, watering and compaction compaction 45,746,000.00 : UA 40796, MUPULIRA||||738594.66|45746000.0||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|0|ALL WARDS|SSS SHOT Re erate. geet ges oe vyen tee J LIRA MUNICIPAL POUNCIL|ROADS|SSS SHOT Re erate. geet ges oe vyen tee J LIRA MUNICIPAL POUNCIL||||738594.66|1429924.55||Kantanshi-Comm-Projects.pdf|14.6
Kantanshi|08|ALL WARDS|DEC 2025 OWN CLERK|ROADS|DEC 2025 OWN CLERK||||738594.66|1429924.55||Kantanshi-Comm-Projects.pdf|14.6
