Sector|Main_Objective|Specific_Objective_or_Program|Project_Description|Cost_ZMW|Proposed_Source_of_Funds|Location|Ward|Responsible_Agency|Implementation_Period
Sports, Youth Recreation & Culture||Establish new libraries|Constr uction and|5000000.0|MMC, NGO,|Topshops, Ndeke, Kwacha,|David Kaunda, Kwacha,|MMC, ZESCO, MULONGA|2023-2032
Forestry, Environment & Natural Resources||Rehabilit ation of parks and gardens|Vegetat ion control, landsca ping, plantin g of trees|75000.0|MLG, MLNR, MMC, NGO|District-wide|Mufu lira Distri ct|MMC, ZESCO, MULONGA, DHSS, NGO|2023-2032
Education||Formulate a development plan||300000.0|MCDSS , World Bank, GIZ, ADB|District-wide||MCDSS, MoGE, MoA, MoG, World Bank, GIZ, ADB|2023-2032
Education||Creation of Community Resource Centers||5000000.0|MCDSS , MLGH MoG, MoGE, GIZ, NGOs|District-wide|Bwananyi na Minambe Murundu Mutundu|MCDSS, MoG, MoGE, Dept of Works & Supply, GIZ, NGO|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Provision of more agricultural inputs & alternative livelihoods to poor and vulnerable households||35000000.0|MCDSS, ADB, NGOs|District-wide|Bwananyi na Minambe Murundu Mutundu Kangwa Nsuluka|MCDSS, Min. of Liv & Fisheries MoA, NGOs|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Train Food Security Pack beneficiaries||10000000.0|MCDSS, Min. of Agric, ADB, NGOs|District-wide|Bwananyi na Minambe Murundu Mutundu Kangwa Nsuluka|MCDSS, Min. of Agric Min. of Liv & Fisheries, NGOs|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Equipment & Furniture development||5000000.0|MCDSS, MoGE, NGOs UNESC O|District-wide|Bwananyi na Minambe Murundu Mutundu Kangwa Nsuluka|MCDSS, MoGE, NGOs, UNESCO|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Secure Teaching Materials||1000000.0|MCDSS, MoGE, NGOs,|District-wide|Bwananyi na|MCDSS, MoGE,|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||||1300000.0|MCDSS, World Bank, GIZ|District-wide|District-wide|MCDSS, World Bank, GIZ|2023-2032
Public Infrastructure, Roads, Bridges & Culverts||1.To Ensure availability of materials, manpower, tools, and equipment||5000000.0|MMC|CBD, Sections Kamucha nga|Mufulira and Kantans hi|MMC|2023-2032
Public Infrastructure, Roads, Bridges & Culverts||2. To Repair or replace old and damaged culverts and repair or reconstruc t old and damaged bridges||20000000.0|MMC/M LG, NRFA|Mufulira district|All wards|MMC, ZNS, ZA, RDA, NRFA|2023-2032
Disaster Risk Reduction & Fire Services||-procure adequate emergency fire appliances such as fire rescue appliances and ambulances - procure tech equipment such as computers and drones||27000000.0|MMC/M LG|Butondo, Murundu, Kamucha nga, Kansuswa , 14 miles|Butondo ward, Minambe ward, Kamuchn anga ward, Kansusw award, Mutundu ward|MMC|2023-2032
Disaster Risk Reduction & Fire Services||||1000000.0|MMC/M LG|Butondo, Murundu, Kamucha nga, Kansuswa , 14 miles|Butondo ward, Minambe ward, Kamuchn anga ward, Kansusw a ward, Mutundu|MMC|2023-2032
Street Lighting, Market & Bus Station Lighting|| Stock taking and Repair of existing street lighting infrastruc ture.  Replacem ent of||10000000.0|MMC/M LG|David Kaunda, Changa Changa, Omelomu mba, Mulombw a 1. Gashi 2. Orang e|Mainasok o, Changa Changa, David Lunda, Mulungu shi, David Kaunda, Leyamuk utu, David|MMC|2023-2032
Street Lighting, Market & Bus Station Lighting||Ensure adequate site inspection and supervision||650000.0|MMC|Mufulira District|All wards|MMC|2023-2032
Street Lighting, Market & Bus Station Lighting||Sensitizing the district on the revised professional design fees||600000.0|MMC|Mufulira District|All wards|MMC|2023-2032
Street Lighting, Market & Bus Station Lighting||To carry out periodic inspection of||650000.0|MMC|Mufulira District|All wards|MMC|2023-2032
Forestry, Environment & Natural Resources||- Forest protection and management|-Forest patrols Boundary Maintenanc e|4916051.76|GRZ|All protected forests within the district|District-wide|Forestry|2023-2032
Education||Solid Waste managem ent|Procurem ent of skip loader truck and skip bins|2000000.0|CDF MMC|Markets, Bus stations and urban townships|All urban wards|DPH DF DDP|2023-2032
Education|||Procurem ent of a Refuse compactor truck|1200000.0|MMC CDF|District-wide|District-wide|MOH|2023-2032
Education||Solid Waste Managem ent|Procure waste receptacle s|200000.0|Waste managem ent fees|CBD, Top shops Kamuchang a Kwacha Butondo|All urban wards|MOH|2023-2032
Education||Establish Proper solid|Fencing of the Dumpsite|1000000.0|MMC|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||MZCG&H|MZCG&H|700000.0|MMC|Throughout the district|All wards|MMC/ DPH & DF|2023-2032
Public Health, Solid Waste Management & Sanitation||MZCG&H|MZCG&H|240000.0|MMC|MafkenFm|District-wide|DPH/ PRM|2023-2032
Public Health, Solid Waste Management & Sanitation||Communit y funeral services|Cemetery sanitation and maintena nce|400000.0|MMC|Mokambo road cemetery|Murundu|DES DPH DDP|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Recruit 13 more extension officers||1200000.0|GRZ, DONER AND CDF|Mufulira|All wards|MoA/MMC|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Promotion of domestic and international markets||750000.0|G R Z / ( C D F )- MMC/priv ate sector|District-wide|District-wide|MFL-MMC|2023-2032
Agriculture, Livestock, Veterinary & Fisheries||Developing Infrastructure to support various activities|Construction of Welfare Halls|1000000.0|MCDSS & UNICEF|Luansobe & Murundu|Kangwa Nsuluka & Murundu|MCDSS, MMC, MWS & NGO|2023-2032
Community Development, Gender & Social Welfare||Capacity building||700000.0|MCDSS & NGO|Kansuswa, Kafironda & Kafue|Kansuswa|MCDSS, MTCI & NGO|2023-2032
Community Development, Gender & Social Welfare||||10000000.0|Ministry of Home affairs, Local Government and Local Authority|10 Wards (TBA)|District-wide|MOH|2023-2032
Community Development, Gender & Social Welfare||||20000000.0|Ministry of Home affairs, Local Government and Local Authority|TBA|District-wide|MOH|2023-2032
Community Development, Gender & Social Welfare||||4916051.76|CDF/ Correctional Facility|- 02 Main Prison - 01 Farm|District-wide|MOH|2023-2032
Community Development, Gender & Social Welfare||||10000000.0|CDF/Correctional Service|04 Maim Facility and 01 OAP|District-wide|MOH|2023-2032
Community Development, Gender & Social Welfare||||4916051.76|CDF|- At the main Prison|District-wide|MOH|2023-2032
Community Development, Gender & Social Welfare||||450000.0|CDF|- At the main Prison|District-wide|MOH|2023-2032
Community Development, Gender & Social Welfare||||4916051.76|CDF/Correctional Service|- Main Prison|District-wide|MOH|2023-2032
