Facility_ID|Facility_Name|Facility_Type|Ward|Ownership|Operational_Status|Constituency
1|Mufulira Teachers Training College Health Post|Health Post|Buntungwa|GRZ|OPNL|Kankoyo
2|Luansobe Rural Health Centre|Rural Health Centre|Kangwa Nsuluka|GRZ|OPNL|Kantanshi
3|Butondo Urban Health Centre|Urban Health Centre|Bufuke|GRZ|OPNL|Mufulira Central
4|Chibolya Urban Health Centre|Urban Health Centre|John Kampengele|GRZ|OPNL|Mufulira Central
5|Mufulira Clinic 5 Urban Health Centre|Urban Health Centre|Fibusa|GRZ|OPNL|Mufulira Central
6|Triple S (CHAI) Health Post|Health Post|Luansobe|GRZ|OPNL|Kankoyo
7|Mufulira Clinic 7 Urban Health Centre|Urban Health Centre|Bufuke|Private|OPNL|Kankoyo
8|Mupena Health Post|Health Post|Mutundu|GRZ|OPNL|Mufulira Central
9|Minambe Health Post|Health Post|Minambe|GRZ|OPNL|Mufulira Central
10|Mupambe Health Post|Health Post|Mupambe|GRZ|OPNL|Mufulira Central
11|Mokambo Rural Health Centre|Urban Health Centre|Mokambo|GRZ|OPNL|Kantanshi
12|Mufulira Clinic 1 Urban Health Centre|Urban Health Centre|Mulungunshi|GRZ|OPNL|Mufulira Central
13|Mufulira Clinic 3 Urban Health Centre|Urban Health Centre|Leya Mukutu|GRZ|OPNL|Mufulira Central
14|Murundu Rural Health Centre|Urban Health Centre|Murundu|GRZ|OPNL|Mufulira Central
15|Ronald Ross General Hospital|Hospital Level 2|Leya Mukutu|GRZ|OPNL|Kantanshi
16|Malcolm Watson Hospital|Hospital - Level 1|David Kaunda|Private|OPNL|Mufulira Central
17|Mufulira Clinic 2 Urban Health Centre|Urban Health Centre|Shinde|Private|OPNL|Kantanshi
18|Mufulira Clinic 6 Urban Health Centre|Urban Health Centre|Bwafwano|Private|OPNL|Kankoyo
